epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,2188.41,0.71951,0.41148,1.10699,0.95858,0.95475,0.99216,0.76224,0.89854,0.49899,1.16465,0.000226769,0.000226769,0.000226769
71,2211.97,0.68817,0.40078,1.09535,0.93065,0.97742,0.99181,0.77043,0.85969,0.4988,1.14982,0.000214046,0.000214046,0.000214046
72,2235.35,0.68005,0.3949,1.09412,0.94432,0.97536,0.99465,0.79242,0.81683,0.46904,1.12814,0.000201611,0.000201611,0.000201611
73,2258.57,0.66982,0.38946,1.08405,0.95336,0.97642,0.99463,0.78375,0.84352,0.46889,1.14113,0.000189475,0.000189475,0.000189475
74,2281.8,0.65153,0.38537,1.06247,0.95839,0.97031,0.99412,0.78974,0.81877,0.46997,1.13268,0.000177651,0.000177651,0.000177651
75,2304.85,0.63592,0.37933,1.05371,0.96471,0.96604,0.99436,0.78971,0.81361,0.46195,1.12677,0.000166149,0.000166149,0.000166149
76,2328.25,0.62878,0.37265,1.04573,0.96832,0.94955,0.99441,0.79567,0.81626,0.47256,1.12509,0.000154982,0.000154982,0.000154982
77,2351.29,0.62946,0.37476,1.04865,0.97292,0.9652,0.99441,0.78492,0.84283,0.4643,1.13964,0.000144161,0.000144161,0.000144161
78,2374.17,0.6162,0.36877,1.04608,0.95051,0.97401,0.99436,0.79409,0.81196,0.46276,1.11752,0.000133695,0.000133695,0.000133695
79,2397.34,0.62043,0.3673,1.03866,0.95254,0.96518,0.99284,0.7836,0.82943,0.46384,1.13283,0.000123596,0.000123596,0.000123596
80,2420.66,0.61621,0.3607,1.03552,0.95903,0.96483,0.99313,0.79098,0.83094,0.45865,1.13048,0.000113873,0.000113873,0.000113873
81,2443.72,0.61002,0.35827,1.03543,0.9508,0.97675,0.99228,0.79027,0.80839,0.45583,1.12205,0.000104537,0.000104537,0.000104537
82,2467.38,0.60713,0.3587,1.0349,0.94769,0.97864,0.99308,0.79342,0.7887,0.45001,1.11204,9.55951e-05,9.55951e-05,9.55951e-05
83,2490.32,0.60222,0.35576,1.03148,0.95575,0.98096,0.99337,0.79445,0.80614,0.45005,1.12269,8.70577e-05,8.70577e-05,8.70577e-05
84,2513.57,0.59356,0.35445,1.0327,0.9402,0.9887,0.99308,0.79991,0.80285,0.45381,1.11989,7.89327e-05,7.89327e-05,7.89327e-05
85,2536.61,0.59002,0.35143,1.02509,0.9479,0.98232,0.99283,0.78833,0.81756,0.45349,1.13042,7.12282e-05,7.12282e-05,7.12282e-05
86,2560.22,0.5892,0.35175,1.02629,0.94703,0.98522,0.99308,0.79273,0.81139,0.45278,1.13268,6.39518e-05,6.39518e-05,6.39518e-05
87,2583.21,0.58435,0.34888,1.01665,0.95987,0.9806,0.99436,0.7985,0.80756,0.44414,1.12944,5.71106e-05,5.71106e-05,5.71106e-05
88,2606.34,0.58165,0.3501,1.01958,0.96448,0.9805,0.99465,0.79778,0.80137,0.44341,1.12493,5.07115e-05,5.07115e-05,5.07115e-05
89,2629.95,0.58504,0.34765,1.01985,0.96924,0.97593,0.99436,0.79453,0.80696,0.44526,1.12823,4.47606e-05,4.47606e-05,4.47606e-05
90,2652.76,0.58231,0.34864,1.01603,0.96688,0.97396,0.99412,0.79804,0.79925,0.4471,1.1256,3.9264e-05,3.9264e-05,3.9264e-05
91,2683.82,0.56975,0.34503,1.00912,0.97139,0.97392,0.99436,0.79934,0.79498,0.44402,1.12203,3.4227e-05,3.4227e-05,3.4227e-05
92,2705.1,0.57668,0.34371,1.01086,0.97317,0.97163,0.99436,0.79851,0.80102,0.44298,1.12651,2.96546e-05,2.96546e-05,2.96546e-05
93,2728.51,0.57513,0.34386,1.00962,0.97125,0.97109,0.99436,0.79539,0.79901,0.4406,1.12751,2.55513e-05,2.55513e-05,2.55513e-05
94,2751.77,0.57466,0.34435,1.01114,0.96857,0.97354,0.99436,0.79613,0.80422,0.44253,1.12879,2.19212e-05,2.19212e-05,2.19212e-05
95,2775.19,0.56794,0.33817,1.00642,0.97338,0.96946,0.99436,0.80008,0.79775,0.43969,1.12745,1.87678e-05,1.87678e-05,1.87678e-05
96,2798.14,0.56273,0.34319,1.00695,0.9696,0.97222,0.99436,0.79929,0.79539,0.43963,1.12629,1.60943e-05,1.60943e-05,1.60943e-05
97,2820.64,0.57466,0.3401,1.01662,0.96911,0.97211,0.99436,0.79838,0.79665,0.43941,1.12707,1.39032e-05,1.39032e-05,1.39032e-05
98,2842.68,0.5675,0.34135,1.01089,0.96974,0.97226,0.99465,0.79792,0.79597,0.4392,1.12581,1.21968e-05,1.21968e-05,1.21968e-05
99,2865.32,0.56468,0.34068,1.01086,0.97063,0.97143,0.99465,0.79788,0.79446,0.43942,1.12497,1.09768e-05,1.09768e-05,1.09768e-05
100,2888.27,0.56865,0.34046,1.01343,0.96849,0.97315,0.99465,0.79952,0.79779,0.43958,1.12619,1.02443e-05,1.02443e-05,1.02443e-05
